,ID Place,Place,Population,Median Age,Property Value,Household Income,Average Commute Time,Household Ownership,Health Insurance Policies,Percent Business & Tech Jobs
72,16000US0621712,"El Cajon, CA",102699,34.9,484500,32139,23.241476466534237,0.3129436508632022,0.9826483217947595,0.2719897018849
73,16000US0622020,"Elk Grove, CA",174791,38.6,462300,57048,33.76313474705211,0.32637836044189916,0.998215011070364,0.44592059161296455
74,16000US0622230,"El Monte, CA",115477,38.2,558100,31535,30.852491302987353,0.2730846835300536,,0.17798003523194364
75,16000US0622804,"Escondido, CA",151619,36.9,502600,51364,28.59935354779129,0.3387702069001906,0.992850500267117,0.2683690590840043
76,16000US0623182,"Fairfield, CA",117136,35.3,452400,37310,32.603090618963634,0.3185186449938533,0.978896325638574,0.3142410417754355
77,16000US0624477,"Florence-Graham, CA",70149,31.2,385600,14973,,0.21344566565453535,,0.13072758795570075
78,16000US0624638,"Folsom, CA",81324,40.1,594500,27286,,0.33552210909448626,,0.5893076433611497
79,16000US0624680,"Fontana, CA",214557,32.2,418000,56457,29.34608188085989,0.26313287378179223,0.9983407672553214,0.24352465520498773
80,16000US0626000,"Fremont, CA",241117,38.9,1086700,77848,33.78547384036059,0.3228640037823961,0.9971797923829511,0.5908071342419928
81,16000US0627000,"Fresno, CA",531581,31.8,276600,172815,21.5279289248187,0.3250962694302468,0.9883611340510665,0.29787513231216045
82,16000US0628000,"Fullerton, CA",138638,35.4,684500,44365,30.52303514904214,0.32000605894487805,,0.4217722521546109
83,16000US0629000,"Garden Grove, CA",171670,40.1,603100,47378,27.717686952562396,0.2759829906215413,0.9962719170501544,0.27487802819279145
84,16000US0630000,"Glendale, CA",199301,40.8,821800,74197,25.829516132258515,0.372286140059508,,0.44277766827198883
85,16000US0632548,"Hawthorne, CA",86062,32.2,639800,27489,29.39375286648804,0.31940926308940065,,0.2583631605660912
86,16000US0633000,"Hayward, CA",159202,36.5,645900,47826,36.347598935907634,0.3004107988593108,0.991526488360699,0.320264533682816
87,16000US0633182,"Hemet, CA",85341,40.0,231900,28412,,0.33292321392999846,,0.21334924023609192
88,16000US0633434,"Hesperia, CA",95753,34.2,267000,27185,,0.28390755381032445,,0.22768344044163297
